1,1,12,open,1
2,1,13,open,2
3,1,14,open,3
4,2,12,closed,4
5,2,13,closed,5
6,2,14,closed,6
7,3,12,open,7
8,3,13,open,8
9,3,14,open,9
10,4,12,closed,10
11,4,13,closed,11
12,4,14,closed,12
13,5,12,open,13
14,5,13,open,14
15,5,14,open,15
16,6,12,closed,16
17,6,13,closed,17
18,6,14,closed,18
19,7,12,open,19
20,7,13,open,20
21,7,14,open,21
22,8,12,closed,22
23,8,13,closed,23
24,8,14,closed,24
25,9,12,open,25
26,9,13,open,26
27,9,14,open,27
28,10,12,closed,28
29,10,13,closed,29
30,10,14,closed,30
31,11,12,open,31
32,11,13,open,32
33,11,14,open,33
34,12,12,closed,34
35,12,13,closed,35
36,12,14,closed,36
37,13,12,open,37
38,13,13,open,38
39,13,14,open,39
40,14,12,closed,40
41,14,13,closed,41
42,14,14,closed,42
43,15,12,open,43
44,15,13,open,44
45,15,14,open,45
46,16,12,closed,46
47,16,13,closed,47
48,16,14,closed,48
49,17,12,open,49
50,17,13,open,50
51,17,14,open,51
52,18,12,closed,52
53,18,13,closed,53
54,18,14,closed,54
55,19,12,open,55
56,19,13,open,56
57,19,14,open,57
58,20,12,closed,58
59,20,13,closed,59
60,20,14,closed,60
61,21,12,open,61
62,21,13,open,62
63,21,14,open,63
64,22,12,closed,64
65,22,13,closed,65
66,22,14,closed,66
67,23,12,open,67
68,23,13,open,68
69,23,14,open,69
70,24,12,closed,70
71,24,13,closed,71
72,24,14,closed,72
73,25,12,open,73
74,25,13,open,74
75,25,14,open,75
76,26,12,closed,76
77,26,13,closed,77
78,26,14,closed,78
